what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1260060543940
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260060545573
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260071052195
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260071054030
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260071060912
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260071061628
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260071115741
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260071116571
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260071126187
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1260071131928
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260071176886
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260071407827
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260071417651
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260071418453
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260071419027
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260071437763
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260071455393
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260071866742
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260071902396
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260071903781
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260071904100
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260071906869
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260071907584
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260074149865
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1260074155647
