what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276271479547
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276271482568
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276271836246
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276271911154
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276272962353
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276273092501
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276280704160
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276280706024
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276286395103
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276286395614
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276286435637
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276295868092
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276295868573
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276299356588
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276299360343
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ant",1276299361496
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1276299361552
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1276299361603
stopped,bundle,org.eclipse.mylyn.java.tasks,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.tasks",1276299361626
stopped,bundle,org.eclipse.mylyn.java.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.ui",1276299361632
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1276299361632
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090930-2100_R35x,"org.eclipse.jdt.apt.ui",1276299361702
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1276299361702
stopped,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1276299361703
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1276299361703
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1276964355947
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1276964355950
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1276964355970
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1276964356058
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1276964356078
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1276964356095
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1276964356144
started,bundle,org.eclipse.core.expressions,3.4.101.R35x_v20100209,"org.eclipse.core.expressions",1276964356155
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1276964356171
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1276964356196
started,bundle,org.eclipse.core.jobs,3.4.100.v20090429-1800,"org.eclipse.core.jobs",1276964356236
started,bundle,org.eclipse.core.net,1.2.1.r35x_20090812-1200,"org.eclipse.core.net",1276964356261
started,bundle,org.eclipse.core.resources,3.5.2.R35x_v20091203-1235,"org.eclipse.core.resources",1276964356311
started,bundle,org.eclipse.core.runtime,3.5.0.v20090525,"org.eclipse.core.runtime",1276964356329
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20090413,"org.eclipse.core.runtime.compatibility",1276964356371
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20090413,"org.eclipse.core.runtime.compatibility.auth",1276964356389
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1276964356414
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1276964356463
started,bundle,org.eclipse.ecf.filetransfer,3.0.0.v20090831-1906,"org.eclipse.ecf.filetransfer",1276964356499
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.1.R201001291118,"org.eclipse.epp.usagedata.gathering",1276964356560
started,bundle,org.eclipse.epp.usagedata.recording,1.1.1.R201001291118,"org.eclipse.epp.usagedata.recording",1276964356604
